group,seed,survived,refresh,eat,divide,pop,energy
g2_opt_gate,7067,true,0.011522,0.153872,0.022080,128.83,29.04
g3_nonopt_nogate,7067,true,0.008983,0.226259,0.141069,29.11,23.07
g4_nonopt_gate_exp,7067,true,0.008534,0.259117,0.022072,29.96,27.00
g4_nonopt_gate_ctrl,7067,true,0.124169,0.210232,0.039911,21.60,38.57
g2_opt_gate,7068,true,0.010150,0.212448,0.020819,124.40,30.71
g3_nonopt_nogate,7068,true,0.095314,0.317253,0.127693,29.59,22.47
g4_nonopt_gate_exp,7068,true,0.182777,0.221126,0.061226,26.67,34.01
g4_nonopt_gate_ctrl,7068,true,0.016972,0.224510,0.021310,28.55,28.31
g2_opt_gate,7069,true,0.013509,0.151982,0.022092,144.67,29.09
g3_nonopt_nogate,7069,true,0.009110,0.255855,0.096439,29.27,23.98
g4_nonopt_gate_exp,7069,true,0.074773,0.194423,0.014929,18.59,45.64
g4_nonopt_gate_ctrl,7069,true,0.196688,0.205973,0.043441,21.22,47.30
g2_opt_gate,7070,true,0.015323,0.219491,0.015504,110.85,38.59
g3_nonopt_nogate,7070,true,0.222806,0.172804,0.119089,24.49,25.46
g4_nonopt_gate_exp,7070,true,0.225290,0.193670,0.000000,7.00,96.19
g4_nonopt_gate_ctrl,7070,true,0.017207,0.260273,0.021253,28.14,28.83
g2_opt_gate,7071,true,0.016290,0.210615,0.020150,118.28,32.64
g3_nonopt_nogate,7071,true,0.029935,0.182941,0.091666,27.26,27.40
g4_nonopt_gate_exp,7071,true,0.206916,0.140123,0.051405,30.00,40.67
g4_nonopt_gate_ctrl,7071,true,0.026861,0.290875,0.020195,26.35,31.70
g2_opt_gate,7072,true,0.011977,0.152027,0.022181,143.35,28.97
g3_nonopt_nogate,7072,true,0.224710,0.152414,0.096386,31.98,24.27
g4_nonopt_gate_exp,7072,true,0.016995,0.298784,0.021259,28.53,28.73
g4_nonopt_gate_ctrl,7072,true,0.009022,0.265149,0.019987,28.68,30.54
g2_opt_gate,7073,true,0.011212,0.154384,0.022144,132.92,28.85
g3_nonopt_nogate,7073,true,0.224432,0.152510,0.096045,31.99,24.30
g4_nonopt_gate_exp,7073,true,0.008550,0.218104,0.022103,29.92,26.68
g4_nonopt_gate_ctrl,7073,true,0.030325,0.297139,0.019765,22.39,32.89
g2_opt_gate,7074,true,0.031511,0.218355,0.013626,97.68,43.66
g3_nonopt_nogate,7074,true,0.009141,0.221908,0.096174,29.22,24.25
g4_nonopt_gate_exp,7074,true,0.057399,0.283301,0.016977,20.01,41.13
g4_nonopt_gate_ctrl,7074,true,0.084324,0.276224,0.028842,19.57,40.94
g2_opt_gate,7075,true,0.011649,0.212124,0.020643,123.31,31.22
g3_nonopt_nogate,7075,true,0.044773,0.268389,0.097532,29.68,23.98
g4_nonopt_gate_exp,7075,true,0.017000,0.298827,0.021252,28.39,28.69
g4_nonopt_gate_ctrl,7075,true,0.016979,0.298752,0.021248,28.27,28.82
g2_opt_gate,7076,true,0.012157,0.211945,0.020546,123.19,31.43
g3_nonopt_nogate,7076,true,0.022394,0.213601,0.121187,27.43,25.43
g4_nonopt_gate_exp,7076,true,0.017659,0.302636,0.021181,27.04,29.22
g4_nonopt_gate_ctrl,7076,true,0.008496,0.305339,0.022091,30.48,26.50
g2_opt_gate,7077,true,0.183814,0.162733,0.058265,106.51,40.43
g3_nonopt_nogate,7077,true,0.009209,0.348521,0.099469,28.10,24.31
g4_nonopt_gate_exp,7077,true,0.063468,0.275717,0.018494,21.12,36.39
g4_nonopt_gate_ctrl,7077,true,0.026748,0.209346,0.020187,26.53,31.45
g2_opt_gate,7078,true,0.088220,0.227276,0.047498,151.40,25.69
g3_nonopt_nogate,7078,true,0.009228,0.368114,0.095944,28.72,24.63
g4_nonopt_gate_exp,7078,true,0.016314,0.211746,0.021296,29.75,27.86
g4_nonopt_gate_ctrl,7078,true,0.016936,0.254125,0.021233,28.42,28.76
g2_opt_gate,7079,true,0.052570,0.219601,0.012242,83.11,49.51
g3_nonopt_nogate,7079,true,0.216197,0.328258,0.059549,14.04,43.24
g4_nonopt_gate_exp,7079,true,0.044381,0.293599,0.018418,20.92,37.11
g4_nonopt_gate_ctrl,7079,true,0.189907,0.143158,0.101283,29.88,23.05
g2_opt_gate,7080,true,0.013492,0.211886,0.020308,120.51,31.61
g3_nonopt_nogate,7080,true,0.120605,0.247370,0.107043,24.74,21.70
g4_nonopt_gate_exp,7080,true,0.008477,0.305510,0.022080,30.52,26.65
g4_nonopt_gate_ctrl,7080,true,0.042223,0.289354,0.018643,22.10,36.36
g2_opt_gate,7081,true,0.016739,0.217730,0.016195,115.43,37.80
g3_nonopt_nogate,7081,true,0.025815,0.297428,0.114246,29.47,24.49
g4_nonopt_gate_exp,7081,true,0.017581,0.302714,0.021187,27.76,29.06
g4_nonopt_gate_ctrl,7081,true,0.014954,0.179035,0.108173,26.07,25.44
g2_opt_gate,7082,true,0.012423,0.151730,0.022084,136.46,29.22
g3_nonopt_nogate,7082,true,0.009041,0.349031,0.119887,29.55,22.20
g4_nonopt_gate_exp,7082,true,0.008466,0.248814,0.022077,30.38,26.57
g4_nonopt_gate_ctrl,7082,true,0.016995,0.298669,0.021235,28.59,28.86
g2_opt_gate,7083,true,0.021586,0.213080,0.019532,111.88,34.21
g3_nonopt_nogate,7083,true,0.074618,0.293263,0.087607,17.65,31.43
g4_nonopt_gate_exp,7083,true,0.016947,0.298852,0.021243,28.57,28.77
g4_nonopt_gate_ctrl,7083,true,0.016955,0.298739,0.021237,28.55,28.80
g2_opt_gate,7084,true,0.014795,0.219688,0.016377,115.77,37.59
g3_nonopt_nogate,7084,true,0.020044,0.338634,0.170358,26.43,21.85
g4_nonopt_gate_exp,7084,true,0.189936,0.124808,0.051242,30.17,40.78
g4_nonopt_gate_ctrl,7084,true,0.009588,0.221511,0.017788,26.24,35.04
